Iso Date,Temperature in Celsius
2016-02-25T09:39:50+01:00,  24.1
2016-02-25T09:41:50+01:00,  24.4
2016-02-25T09:43:50+01:00,  24.8
2016-02-25T09:45:50+01:00,  25.2
2016-02-25T09:47:50+01:00,  24.9
2016-02-25T09:49:50+01:00,  24.7
2016-02-25T09:51:50+01:00,  24.7
2016-02-25T09:53:50+01:00,  24.4
2016-02-25T09:55:50+01:00,  24.4
2016-02-25T09:57:50+01:00,  24.5
2016-02-25T09:59:50+01:00,  24.5
2016-02-25T10:01:50+01:00,  24.4
2016-02-25T10:03:50+01:00,  24.9
2016-02-25T10:05:50+01:00,  24.5
2016-02-25T10:07:50+01:00,  24.2
2016-02-25T10:09:50+01:00,  24.0
2016-02-25T10:11:50+01:00,  24.0
2016-02-25T10:13:50+01:00,  24.4
2016-02-25T10:15:50+01:00,  24.3
2016-02-25T10:17:50+01:00,  24.2
2016-02-25T10:19:50+01:00,  24.4
2016-02-25T10:21:50+01:00,  24.2
2016-02-25T10:23:50+01:00,  24.1
2016-02-25T10:25:50+01:00,  24.1
2016-02-25T10:27:50+01:00,  24.1
2016-02-25T10:29:50+01:00,  24.3
2016-02-25T10:31:50+01:00,  24.8
2016-02-25T10:33:50+01:00,  24.4
2016-02-25T10:35:50+01:00,  24.2
2016-02-25T10:37:50+01:00,  24.3
2016-02-25T10:39:50+01:00,  24.5
2016-02-25T10:41:50+01:00,  24.4
2016-02-25T10:43:50+01:00,  24.4
2016-02-25T10:45:50+01:00,  24.3
2016-02-25T10:47:50+01:00,  24.1
2016-02-25T10:49:50+01:00,  24.0
2016-02-25T10:51:50+01:00,  23.9
2016-02-25T10:53:50+01:00,  24.2
2016-02-25T10:55:50+01:00,  24.4
2016-02-25T10:57:50+01:00,  25.4
2016-02-25T10:59:50+01:00,  25.1
2016-02-25T11:01:50+01:00,  24.7
2016-02-25T11:03:50+01:00,  24.5
2016-02-25T11:05:50+01:00,  25.2
2016-02-25T11:07:50+01:00,  25.7
2016-02-25T11:09:50+01:00,  26.9
2016-02-25T11:11:50+01:00,  27.4
2016-02-25T11:13:50+01:00,  27.4
2016-02-25T11:15:50+01:00,  27.7
2016-02-25T11:17:50+01:00,  26.3
2016-02-25T11:19:50+01:00,  26.4
2016-02-25T11:21:50+01:00,  26.3
2016-02-25T11:23:50+01:00,  26.2
2016-02-25T11:25:50+01:00,  26.3
2016-02-25T11:27:50+01:00,  26.5
2016-02-25T11:29:50+01:00,  26.5
2016-02-25T11:31:50+01:00,  26.5
2016-02-25T11:33:50+01:00,  26.5
2016-02-25T11:35:50+01:00,  26.5
2016-02-25T11:37:50+01:00,  25.3
2016-02-25T11:39:50+01:00,  24.6
2016-02-25T11:41:50+01:00,  24.2
2016-02-25T11:43:50+01:00,  24.0
2016-02-25T11:45:50+01:00,  23.9
2016-02-25T11:47:50+01:00,  23.8
2016-02-25T11:49:50+01:00,  23.7
2016-02-25T11:51:51+01:00,  23.7
2016-02-25T11:53:51+01:00,  23.6
2016-02-25T11:55:51+01:00,  23.6
2016-02-25T11:57:51+01:00,  23.6
2016-02-25T11:59:51+01:00,  23.6
2016-02-25T12:01:51+01:00,  23.5
2016-02-25T12:03:51+01:00,  23.5
2016-02-25T12:05:51+01:00,  23.5
2016-02-25T12:07:51+01:00,  23.5
2016-02-25T12:09:51+01:00,  23.5
2016-02-25T12:11:51+01:00,  23.5
2016-02-25T12:13:51+01:00,  23.5
2016-02-25T12:15:51+01:00,  23.5
2016-02-25T12:17:51+01:00,  23.3
2016-02-25T12:19:51+01:00,  22.8
2016-02-25T12:21:51+01:00,  22.3
2016-02-25T12:23:51+01:00,  22.1
2016-02-25T12:25:51+01:00,  22.3
2016-02-25T12:27:51+01:00,  22.5
2016-02-25T12:29:51+01:00,  22.6
2016-02-25T12:31:51+01:00,  22.7
2016-02-25T12:33:51+01:00,  22.8
2016-02-25T12:35:51+01:00,  22.8
2016-02-25T12:37:51+01:00,  22.9
2016-02-25T12:39:51+01:00,  23.0
2016-02-25T12:41:51+01:00,  23.0
2016-02-25T12:43:51+01:00,  23.0
2016-02-25T12:45:51+01:00,  23.0
2016-02-25T12:47:51+01:00,  23.1
2016-02-25T12:49:51+01:00,  23.1
2016-02-25T12:51:51+01:00,  23.1
2016-02-25T12:53:51+01:00,  23.1
2016-02-25T12:55:51+01:00,  23.1
2016-02-25T12:57:51+01:00,  23.2
2016-02-25T12:59:51+01:00,  23.2
2016-02-25T13:01:51+01:00,  23.2
2016-02-25T13:03:51+01:00,  23.2
2016-02-25T13:05:51+01:00,  23.2
2016-02-25T13:07:51+01:00,  23.2
2016-02-25T13:09:51+01:00,  23.2
2016-02-25T13:11:51+01:00,  23.3
2016-02-25T13:13:51+01:00,  23.2
2016-02-25T13:15:51+01:00,  23.2
2016-02-25T13:17:51+01:00,  23.2
2016-02-25T13:19:51+01:00,  23.2
2016-02-25T13:21:51+01:00,  23.2
2016-02-25T13:23:51+01:00,  23.4
2016-02-25T13:25:51+01:00,  23.5
2016-02-25T13:27:51+01:00,  23.5
2016-02-25T13:29:51+01:00,  23.6
2016-02-25T13:31:51+01:00,  23.5
2016-02-25T13:33:51+01:00,  23.9
2016-02-25T13:35:51+01:00,  23.9
2016-02-25T13:37:51+01:00,  24.0
2016-02-25T13:39:51+01:00,  24.2
2016-02-25T13:41:51+01:00,  24.2
2016-02-25T13:43:52+01:00,  24.0
2016-02-25T13:45:52+01:00,  24.0
2016-02-25T13:47:52+01:00,  24.1
2016-02-25T13:49:52+01:00,  24.8
2016-02-25T13:51:52+01:00,  25.2
2016-02-25T13:53:52+01:00,  24.9
2016-02-25T13:55:52+01:00,  24.6
2016-02-25T13:57:52+01:00,  24.3
2016-02-25T13:59:52+01:00,  24.3
2016-02-25T14:01:52+01:00,  24.5
2016-02-25T14:03:52+01:00,  25.1
2016-02-25T14:05:52+01:00,  24.6
2016-02-25T14:07:52+01:00,  24.4
2016-02-25T14:09:52+01:00,  24.2
2016-02-25T14:11:52+01:00,  24.8
2016-02-25T14:13:52+01:00,  25.4
2016-02-25T14:15:52+01:00,  25.4
2016-02-25T14:17:52+01:00,  25.4
2016-02-25T14:19:52+01:00,  25.1
2016-02-25T14:21:52+01:00,  25.4
2016-02-25T14:23:52+01:00,  25.8
2016-02-25T14:25:52+01:00,  25.3
2016-02-25T14:27:52+01:00,  24.9
2016-02-25T14:29:52+01:00,  24.8
2016-02-25T14:31:52+01:00,  24.7
2016-02-25T14:33:52+01:00,  24.8
2016-02-25T14:35:52+01:00,  25.6
2016-02-25T14:37:52+01:00,  26.3
2016-02-25T14:39:52+01:00,  26.4
2016-02-25T14:41:52+01:00,  25.7
2016-02-25T14:43:52+01:00,  25.9
2016-02-25T14:45:52+01:00,  26.0
2016-02-25T14:47:52+01:00,  26.2
2016-02-25T14:49:52+01:00,  26.0
2016-02-25T14:51:52+01:00,  25.5
